id_schedule,tag
0001,debat
0001,capres
0001,televisi
0001,capres
0002,debat
0002,capres
0002,televisi
0002,capres
0003,debat
0003,capres
0003,televisi
0003,capres
0003,cawapres
0004,debat
0004,capres
0004,televisi
0004,cawapres
0005,debat
0005,capres
0005,televisi
0005,cawapres
0006,debat
0006,capres
0006,televisi
0006,capres
0006,cawapres
0007,debat
0007,capres
0007,televisi
0007,capres
0008,debat
0008,capres
0008,televisi
0008,capres
0009,debat
0009,capres
0009,televisi
0009,capres
0009,cawapres
0010,debat
0010,capres
0010,televisi
0010,cawapres
0011,debat
0011,capres
0011,televisi
0011,cawapres
0012,debat
0012,capres
0012,televisi
0012,capres
0012,cawapres
