id,nama
1,Partai Nasional Indonesia Marhaenisme
2,Partai Buruh Sosial Demokrat
3,Partai Bulan Bintang
4,Partai Merdeka
5,Partai Persatuan Pembangunan
6,Partai Persatuan Demokrasi Kebangsaan
7,Partai Perhimpunan Indonesia Baru
8,Partai Nasional Banteng Kemerdekaan
9,Partai Demokrat
10,Partai Keadilan Dan Persatuan Indonesia
11,Partai Penegak Demokrasi Indonesia
12,Partai Persatuan Nahdlatul Ummah Indonesia
13,Partai Amanat Nasional
14,Partai Karya Peduli Bangsa
15,Partai Kebangkitan Bangsa
16,Paartai Keadilan Sejahtera
17,Partai Bintang Reformasi
18,Partai Demokrasi Indonesia Perjuangan
19,Partai Damai Sejahtera
20,Partai Golongan Karya
21,Partai Patriot Pancasila
22,Partai Sarikat Indonesia
23,Partai Persatuan Daerah
24,Partai Pelopor
